"Id","Name","Url","Parent","Wave","Folder","Slug","IsFolder"
"321","Followup history report","crm_general/reports/Followup_report/list_followup_report","336","2","reports","followup-history-report","False"
"322","Enquiry completion report","crm_general/reports/Enquiry_completion_report/list_completion_report","336","2","reports","enquiry-completion-report","False"
"323","Allocated Enquiry Report","crm_general/reports/Allocated_report/list_allocated_report","336","2","reports","allocated-enquiry-report","False"
"324","Business Opportunity Report","crm_general/reports/Bussiness_opportunity_report/list_opportunity_report","336","2","reports","business-opportunity-report","False"
"325","Business plan report","crm_general/reports/Bussiness_plan_report/list_busiplan_report","336","2","reports","business-plan-report","False"
"326","Leads Master","crm_general/Leads_master/listall","335","2","master","leads-master","False"
"327","Enquiry Register","crm_general/Enquiry_register/list_all","335","2","crm","enquiry-register","False"
"328","Enquiry Master","crm_general/Enquiry_allocation/list_all","335","2","crm","enquiry-master","False"
"329","CRM","","0","-","other","crm","True"
"330","Enquiry Master","crm_new/Enquiry_allocation/list_all","332","2","crm","enquiry-master","False"
"331","Enquiry Register","crm_new/Enquiry_register/list_all","332","2","crm","enquiry-register","False"
"332","Student Crm","","1000","-","other","student-crm","True"
"333","Type of Bussiness","crm_general/Leads_master/listTypeofBuss","337","2","master","type-of-bussiness","False"
"334","Nature of Bussiness","crm_general/Enquiry_allocation/listOtherofBuss","337","2","crm","nature-of-bussiness","False"
"335","CRM Transactions","","329","-","other","crm-transactions","True"
"336","CRM Reports","","329","-","other","crm-reports","True"
"337","CRM Masters","","329","-","other","crm-masters","True"
"338","Quotation","transaction/Quotation/listall","292","1","transaction","quotation","False"
"339","Status Master","crm_general/Enquiry_followup/listStatus","337","2","crm","status-master","False"
"340","Price List","pricelist/Pricelist/listall","24","1","master","price-list","False"
"341","Modify Item Rates","Itemsedit/listall","24","1","master","modify-item-rates","False"
"342","POS","pos/Main/listall","292","2","pos","pos","False"
"343","Branch","Masters/company_branch","15","1","other","branch","False"
"344","Cost Center","cost_analytics/Cost_centre/listall","15","2","analytics","cost-center","False"
"345","Payment List","transaction//vouchers//list_all//payment","36","1","transaction","payment-list","False"
"346","Receipt List","transaction//vouchers//list_all//receipt","36","1","transaction","receipt-list","False"
"347","Sales Cash Report","reports/invoice/salescashreport","295","2","reports","sales-cash-report","False"
"348","Set Free Quantity","itemedit/list","24","1","master","set-free-quantity","False"
"349","Contra","transaction//vouchers//listall//contra","294","1","transaction","contra","False"
"350","Sales Summary Report","reports/Sales/sales_summary","295","2","reports","sales-summary-report","False"
"351","Company Keys","settings/CompanySettings/company_keys","123","1","settings","company-keys","False"
"352","Service CRM","","1000","-","other","service-crm","True"
"353","Service Call Register","crm_service/Enquiry_allocation/list_all","352","2","crm","service-call-register","False"
"354","Allocated Services","crm_service/Enquiry_register/list_all","352","2","crm","allocated-services","False"
"355","Service Bill","crm_service/Enquiry_list/listall","352","2","crm","service-bill","False"
"356","Area Wise Item Report","reports/area/Itemwise","295","2","reports","area-wise-item-report","False"
"357","Route Customer Bill Details","reports/area/Customerwise","295","2","reports","route-customer-bill-details","False"
"358","Hsn Wise Report","reports/hsn/Hsnreport","483","2","reports","hsn-wise-report","False"
"359","Item Wise Hsn Report","reports/hsn/itemreport","483","2","reports","item-wise-hsn-report","False"
"360","E-way Bill Report","reports/hsn/eway","483","2","reports","e-way-bill-report","False"
"361","Delivery Note","transaction/sales/listall/delivery_note","292","1","transaction","delivery-note","False"
"368","Balance Sheet","reports/accounts/balancesheet","36","2","accounts_master","balance-sheet","False"
"369","Ledger Group report","reports/accounts/mainLeadger","36","2","accounts_master","ledger-group-report","False"
"370","Production","","29","-","other","production","True"
"371","BoM List","production/bom/bom_controller/listall","370","3","production","bom-list","False"
"372","Status","production/status/Status_controller/listall","370","3","production","status","False"
"373","Stage","production/stage/stage_controller/listall","370","3","production","stage","False"
"374","Additional Fileds","production/label/label_controller/listall","370","3","production","additional-fileds","False"
"375","Process","production/process/process_controller/listall","370","3","production","process","False"
"376","Order Items Total","reports/items/order_items","295","2","master","order-items-total","False"
"377","Multi Unit Stock","reports/items/unit_stock","297","2","master","multi-unit-stock","False"
"379","Couser Master","education/Course/listall","332","3","education","couser-master","False"
"380","Student","education/Student/listall","332","3","education","student","False"
"381","Discount","education/Course/listDiscount","332","3","education","discount","False"
"382","Batches","education/Student/batch","332","3","education","batches","False"
"383","Fees","education/Student/feeStructure","332","3","education","fees","False"
"384","University","education/Course/university","332","3","education","university","False"
"385","Label Master","crm_new/Enquiry_followup/listLabel","332","2","crm","label-master","False"
"386","Document Master","education/Student/listDoc","332","3","education","document-master","False"
"387","Districts","masters/states","332","1","other","districts","False"
"388","Source Of Enquiry","source_of_enquiry/Source_of_enquiry/list_all","332","1","other","source-of-enquiry","False"
"389","Address report","reports/Address_report/index","36","2","reports","address-report","False"
"390","Customer Balance","reports/Invoice/customercashreport","36","2","reports","customer-balance","False"
"391","Itemwise Order","reports/itemwisereport/salesorder","297","2","reports","itemwise-order","False"
"392","Item Wise Order Register","reports/item/itemereport/estimate","297","2","master","item-wise-order-register","False"
"393","Export Report","","50","-","other","export-report","True"
"397","Jou Voucher Report","reports/New_Voucher_Report/listall","39300","2","reports","jou-voucher-report","False"
"400","Stock Level Report","reports/Item/stocklevel","115","2","master","stock-level-report","False"
"401","Closing Stock Report","reports/items/fifo_lifo","1000","2","master","closing-stock-report","False"
"402","Customer Sales Report","reports/invoice/customereisereport","36","2","reports","customer-sales-report","False"
